,Image,Collection,Production,Date,Occasion,Leaflet Language,Multiple Bill,Performance_ID,Normalized Title,Original Language,Composer,Original Premiere,Original Title,Genre,Title Language,Season,Directors
0,Scan 2024-02-14 1120-13.jpeg,1946-1947,Othello,1946-09-28,openingsvoorstelling,ned,False,667941,Othello,TSJ,Antonín Dvořák,1891,Othello,opera seria,Unk,1946-1947,August Baeyens
2,Scan 2024-02-14 1120-23.jpeg,1946-1947,Traviata,1946-09-29,,ned,False,989553,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1946-1947,August Baeyens
3,Scan 2024-02-14 1120-25.jpeg,1946-1947,Faust,1946-09-29,,ned,False,170892,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1946-1947,August Baeyens
4,Scan 2024-02-14 1120-28.jpeg,1946-1947,De Vogelhandelaar,1946-10-01,galavoorstelling,ned,False,909508,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,NL,1946-1947,August Baeyens
5,Scan 2024-02-14 1120-30.jpeg,1946-1947,Othello,1946-10-03,,ned,False,176997,Othello,TSJ,Antonín Dvořák,1891,Othello,opera seria,Unk,1946-1947,August Baeyens
6,Scan 2024-02-14 1120-32.jpeg,1946-1947,Faust,1946-10-05,,ned,False,798647,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1946-1947,August Baeyens
7,Scan 2024-02-14 1120-34.jpeg,1946-1947,De Vogelhandelaar,1946-10-06,,ned,False,739305,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,NL,1946-1947,August Baeyens
8,Scan 2024-02-14 1120-36.jpeg,1946-1947,Traviata,1946-10-06,,ned,False,873318,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1946-1947,August Baeyens
9,Scan 2024-02-14 1120-38.jpeg,1946-1947,Madame Butterfly,1946-10-08,,ned,False,583143,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1946-1947,August Baeyens
10,Scan 2024-02-14 1120-40.jpeg,1946-1947,Margared,1946-10-10,,ned,False,654425,Margared,FR,Édouard Lalo,1888,Le Roi d’Ys,romantische opera,Unk,1946-1947,August Baeyens
11,Scan 2024-02-14 1120-42.jpeg,1946-1947,De Vogelhandelaar,1946-10-12,,ned,False,814629,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,NL,1946-1947,August Baeyens
12,Scan 2024-02-14 1120-44.jpeg,1946-1947,Faust,1946-10-13,,ned,False,402898,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1946-1947,August Baeyens
13,Scan 2024-02-14 1120-46.jpeg,1946-1947,Othello,1946-10-13,,ned,False,884902,Othello,TSJ,Antonín Dvořák,1891,Othello,opera seria,Unk,1946-1947,August Baeyens
14,Scan 2024-02-14 1120-48.jpeg,1946-1947,Traviata,1946-10-15,,ned,False,816471,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1946-1947,August Baeyens
15,Scan 2024-02-14 1120-50.jpeg,1946-1947,De Vogelhandelaar,1946-10-17,,ned,False,921066,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,NL,1946-1947,August Baeyens
16,Scan 2024-02-14 1132-2.jpeg,1946-1947,De Rozenkavalier,1946-10-19,,ned,False,669010,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,NL,1946-1947,August Baeyens
17,Scan 2024-02-14 1132-4.jpeg,1946-1947,Othello,1946-10-20,,ned,False,116451,Othello,TSJ,Antonín Dvořák,1891,Othello,opera seria,Unk,1946-1947,August Baeyens
18,Scan 2024-02-14 1132-6.jpeg,1946-1947,De Vogelhandelaar,1946-10-20,,ned,False,412847,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,NL,1946-1947,August Baeyens
19,Scan 2024-02-14 1132-8.jpeg,1946-1947,Faust,1946-10-22,,ned,False,591565,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1946-1947,August Baeyens
20,Scan 2024-02-14 1132-10.jpeg,1946-1947,De Ontvoering uit het Serail,1946-10-24,,ned,False,289033,De Ontvoering uit het Serail,DUI,Wolfgang Amadeus Mozart,1782,Die Entführung aus dem Serail,zangspel,NL,1946-1947,August Baeyens
21,Scan 2024-02-14 1132-12.jpeg,1946-1947,Madame Butterfly,1946-10-26,,ned,False,536534,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1946-1947,August Baeyens
22,Scan 2024-02-14 1132-14.jpeg,1946-1947,Margared,1946-10-27,,ned,False,940650,Margared,FR,Édouard Lalo,1888,Le Roi d’Ys,romantische opera,Unk,1946-1947,August Baeyens
23,Scan 2024-02-14 1132-16.jpeg,1946-1947,De Ontvoering uit het Serail,1946-10-27,,ned,False,226170,De Ontvoering uit het Serail,DUI,Wolfgang Amadeus Mozart,1782,Die Entführung aus dem Serail,zangspel,NL,1946-1947,August Baeyens
24,Scan 2024-02-14 1132-18.jpeg,1946-1947,Othello,1946-10-29,,ned,False,420879,Othello,TSJ,Antonín Dvořák,1891,Othello,opera seria,Unk,1946-1947,August Baeyens
25,Scan 2024-02-14 1132-20.jpeg,1946-1947,De Rozenkavalier,1946-10-31,,ned,False,989297,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,NL,1946-1947,August Baeyens
26,Scan 2024-02-14 1132-22.jpeg,1946-1947,De Ontvoering uit het Serail,1946-11-02,,ned,False,538325,De Ontvoering uit het Serail,DUI,Wolfgang Amadeus Mozart,1782,Die Entführung aus dem Serail,zangspel,NL,1946-1947,August Baeyens
27,Scan 2024-02-14 1132-24.jpeg,1946-1947,Madame Butterfly,1946-11-03,,ned,False,964486,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1946-1947,August Baeyens
28,Scan 2024-02-14 1132-26.jpeg,1946-1947,Margared,1946-11-03,,ned,False,956822,Margared,FR,Édouard Lalo,1888,Le Roi d’Ys,romantische opera,Unk,1946-1947,August Baeyens
29,Scan 2024-02-14 1132-28.jpeg,1946-1947,De Vogelhandelaar,1946-11-05,,ned,False,912954,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,NL,1946-1947,August Baeyens
30,Scan 2024-02-14 1132-30.jpeg,1946-1947,Traviata,1946-11-07,,ned,False,649190,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1946-1947,August Baeyens
31,Scan 2024-02-14 1132-32.jpeg,1946-1947,Margared,1946-11-09,,ned,False,868151,Margared,FR,Édouard Lalo,1888,Le Roi d’Ys,romantische opera,Unk,1946-1947,August Baeyens
32,Scan 2024-02-14 1132-34.jpeg,1946-1947,De Ontvoering uit het Serail,1946-11-10,,ned,False,235896,De Ontvoering uit het Serail,DUI,Wolfgang Amadeus Mozart,1782,Die Entführung aus dem Serail,zangspel,NL,1946-1947,August Baeyens
33,Scan 2024-02-14 1132-36.jpeg,1946-1947,De Rozenkavalier,1946-11-10,,ned,False,321340,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,NL,1946-1947,August Baeyens
34,Scan 2024-02-14 1132-38.jpeg,1946-1947,Margared,1946-11-12,,ned,False,398671,Margared,FR,Édouard Lalo,1888,Le Roi d’Ys,romantische opera,Unk,1946-1947,August Baeyens
35,Scan 2024-02-14 1132-40.jpeg,1946-1947,Faust,1946-11-14,,ned,False,802252,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1946-1947,August Baeyens
36,Scan 2024-02-14 1132-42.jpeg,1946-1947,Schuld en Boete,1946-11-16,,ned,False,482796,Schuld en Boete,ITA,Arrigo Pedrollo,1926,Delitto e Castigo,muziekdrama,NL,1946-1947,August Baeyens
37,Scan 2024-02-14 1132-44.jpeg,1946-1947,De Rozenkavalier,1946-11-17,,ned,False,844180,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,NL,1946-1947,August Baeyens
38,Scan 2024-02-14 1132-46.jpeg,1946-1947,Madame Butterfly,1946-11-17,,ned,False,824055,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1946-1947,August Baeyens
39,Scan 2024-02-14 1132-48.jpeg,1946-1947,Het Land van den Glimlach,1946-11-19,,ned,False,849385,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1946-1947,August Baeyens
40,Scan 2024-02-14 1132-50.jpeg,1946-1947,Schuld en Boete,1946-11-21,,ned,False,364182,Schuld en Boete,ITA,Arrigo Pedrollo,1926,Delitto e Castigo,muziekdrama,NL,1946-1947,August Baeyens
41,Scan 2024-02-14 1150-2.jpeg,1946-1947,Traviata,1946-11-23,,ned,True,637989,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1946-1947,August Baeyens
42,Scan 2024-02-14 1150-2.jpeg,1946-1947,Haute Couture,1946-11-23,,ned,True,637989,Haute Couture,FR,Valentine Belowa,?,Haute Couture,ballet,FRA,1946-1947,August Baeyens
43,Scan 2024-02-14 1150-4.jpeg,1946-1947,Het Land van den Glimlach,1946-11-24,,ned,False,665403,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1946-1947,August Baeyens
44,Scan 2024-02-14 1150-6.jpeg,1946-1947,Schuld en Boete,1946-11-24,,ned,False,534656,Schuld en Boete,ITA,Arrigo Pedrollo,1926,Delitto e Castigo,muziekdrama,NL,1946-1947,August Baeyens
45,Scan 2024-02-14 1150-8.jpeg,1946-1947,De Ontvoering uit het Serail,1946-11-26,,ned,False,829895,De Ontvoering uit het Serail,DUI,Wolfgang Amadeus Mozart,1782,Die Entführung aus dem Serail,zangspel,NL,1946-1947,August Baeyens
46,Scan 2024-02-14 1150-10.jpeg,1946-1947,Madame Butterfly,1946-11-26,,ned,True,463325,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1946-1947,August Baeyens
47,Scan 2024-02-14 1150-10.jpeg,1946-1947,Haute Couture,1946-11-26,,ned,True,463325,Haute Couture,FR,Valentine Belowa,?,Haute Couture,ballet,FRA,1946-1947,August Baeyens
48,Scan 2024-02-14 1150-12.jpeg,1946-1947,Othello,1946-11-30,,ned,False,936019,Othello,TSJ,Antonín Dvořák,1891,Othello,opera seria,Unk,1946-1947,August Baeyens
49,Scan 2024-02-14 1150-14.jpeg,1946-1947,Schuld en Boete,1946-12-01,,ned,False,385481,Schuld en Boete,ITA,Arrigo Pedrollo,1926,Delitto e Castigo,muziekdrama,NL,1946-1947,August Baeyens
50,Scan 2024-02-14 1150-16.jpeg,1946-1947,Het Land van den Glimlach,1946-12-01,,ned,False,241453,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1946-1947,August Baeyens
51,Scan 2024-02-14 1150-18.jpeg,1946-1947,Faust,1946-12-03,,ned,False,997531,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1946-1947,August Baeyens
52,Scan 2024-02-14 1150-20.jpeg,1946-1947,Othello,1946-12-05,,ned,False,808163,Othello,TSJ,Antonín Dvořák,1891,Othello,opera seria,Unk,1946-1947,August Baeyens
53,Scan 2024-02-14 1150-22.jpeg,1946-1947,Thyl Uilenspiegel,1946-12-07,,ned,False,124287,Thijl Uilenspiegel,DUI,Richard Strauss,1895,Till Eulenspiegels lustige Streiche,tonal poem,NL,1946-1947,August Baeyens
54,Scan 2024-02-14 1150-24.jpeg,1946-1947,De Vogelhandelaar,1946-12-08,,ned,False,277792,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,NL,1946-1947,August Baeyens
55,Scan 2024-02-14 1150-26.jpeg,1946-1947,Othello,1946-12-08,,ned,False,350832,Othello,TSJ,Antonín Dvořák,1891,Othello,opera seria,Unk,1946-1947,August Baeyens
56,Scan 2024-02-14 1150-28.jpeg,1946-1947,Madame Butterfly,1946-12-10,,ned,True,641776,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1946-1947,August Baeyens
57,Scan 2024-02-14 1150-28.jpeg,1946-1947,Haute Couture,1946-12-10,,ned,True,641776,Haute Couture,FR,Valentine Belowa,?,Haute Couture,ballet,FRA,1946-1947,August Baeyens
58,Scan 2024-02-14 1150-30.jpeg,1946-1947,Thyl Uilenspiegel,1946-12-12,,ned,False,100544,Thijl Uilenspiegel,DUI,Richard Strauss,1895,Till Eulenspiegels lustige Streiche,tonal poem,NL,1946-1947,August Baeyens
59,Scan 2024-02-14 1150-31.jpeg,1946-1947,Faust,1946-12-14,,ned,False,243216,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1946-1947,August Baeyens
60,Scan 2024-02-14 1150-33.jpeg,1946-1947,Madame Butterfly,1946-12-15,,ned,False,886543,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1946-1947,August Baeyens
61,Scan 2024-02-14 1150-35.jpeg,1946-1947,Zwarte Viooltjes,1946-12-15,,ned,False,443829,Zwarte Viooltjes,NL,August Baeyens,1937,Zwarte Viooltjes,operette,NL,1946-1947,August Baeyens
62,Scan 2024-02-14 1150-38.jpeg,1946-1947,Thyl Uilenspiegel,1946-12-17,galavoorstelling,ned,False,598822,Thijl Uilenspiegel,DUI,Richard Strauss,1895,Till Eulenspiegels lustige Streiche,tonal poem,NL,1946-1947,August Baeyens
63,Scan 2024-02-14 1150-39.jpeg,1946-1947,De Ontvoering uit het Serail,1946-12-19,,ned,False,149448,De Ontvoering uit het Serail,DUI,Wolfgang Amadeus Mozart,1782,Die Entführung aus dem Serail,zangspel,NL,1946-1947,August Baeyens
64,Scan 2024-02-14 1150-41.jpeg,1946-1947,Het Land van den Glimlach,1946-12-21,,ned,False,543631,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1946-1947,August Baeyens
65,Scan 2024-02-14 1150-43.jpeg,1946-1947,Laagland,1946-12-22,,ned,False,214504,Laagland,DUI,Albert D'Eugen,1903,Tiefland,melodramatische oper,NL,1946-1947,August Baeyens
66,Scan 2024-02-14 1150-45.jpeg,1946-1947,Thyl Uilenspiegel,1946-12-22,,ned,False,711956,Thijl Uilenspiegel,DUI,Richard Strauss,1895,Till Eulenspiegels lustige Streiche,tonal poem,NL,1946-1947,August Baeyens
67,Scan 2024-02-14 1150-47.jpeg,1946-1947,Laagland,1946-12-24,,ned,False,342554,Laagland,DUI,Albert D'Eugen,1903,Tiefland,melodramatische oper,NL,1946-1947,August Baeyens
68,Scan 2024-02-14 1150-49.jpeg,1946-1947,Zwarte Viooltjes,1946-12-25,,ned,False,220768,Zwarte Viooltjes,NL,August Baeyens,1937,Zwarte Viooltjes,operette,NL,1946-1947,August Baeyens
69,Scan 2024-02-14 1204-2.jpeg,1946-1947,Het Land van den Glimlach,1946-12-26,,ned,False,615385,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1946-1947,August Baeyens
70,Scan 2024-02-14 1204-4.jpeg,1946-1947,Fanny Elssler,1946-12-28,,ned,False,485345,Fanny Elssler,DUI,Johan Strauss II,1934,Die Tänzerin Fanny Elßler,operette,Unk,1946-1947,August Baeyens
71,Scan 2024-02-14 1204-6.jpeg,1946-1947,Faust,1946-12-29,,ned,False,351587,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1946-1947,August Baeyens
72,Scan 2024-02-14 1204-8.jpeg,1946-1947,Laagland,1946-12-29,,ned,False,880360,Laagland,DUI,Albert D'Eugen,1903,Tiefland,melodramatische oper,NL,1946-1947,August Baeyens
73,Scan 2024-02-14 1204-10.jpeg,1946-1947,Zwarte Viooltjes,1946-12-31,,ned,False,286414,Zwarte Viooltjes,NL,August Baeyens,1937,Zwarte Viooltjes,operette,NL,1946-1947,August Baeyens
74,Scan 2024-02-14 1204-12.jpeg,1946-1947,Het Land van den Glimlach,1947-01-01,,ned,False,487984,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1946-1947,August Baeyens
75,Scan 2024-02-14 1204-14.jpeg,1946-1947,Laagland,1947-01-02,,ned,False,851104,Laagland,DUI,Albert D'Eugen,1903,Tiefland,melodramatische oper,NL,1946-1947,August Baeyens
76,Scan 2024-02-14 1204-16.jpeg,1946-1947,Madame Butterfly,1947-01-04,,ned,True,317990,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1946-1947,August Baeyens
77,Scan 2024-02-14 1204-16.jpeg,1946-1947,Haute Couture,1947-01-04,,ned,True,317990,Haute Couture,FR,Valentine Belowa,?,Haute Couture,ballet,FRA,1946-1947,August Baeyens
78,Scan 2024-02-14 1204-18.jpeg,1946-1947,Fanny Elssler,1947-01-05,,ned,False,930672,Fanny Elssler,DUI,Johan Strauss II,1934,Die Tänzerin Fanny Elßler,operette,Unk,1946-1947,August Baeyens
79,Scan 2024-02-14 1204-20.jpeg,1946-1947,De Ontvoering uit het Serail,1947-01-05,,ned,False,543266,De Ontvoering uit het Serail,DUI,Wolfgang Amadeus Mozart,1782,Die Entführung aus dem Serail,zangspel,NL,1946-1947,August Baeyens
80,Scan 2024-02-14 1204-22.jpeg,1946-1947,Het Land van den Glimlach,1947-01-07,,ned,False,282908,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1946-1947,August Baeyens
81,Scan 2024-02-14 1204-24.jpeg,1946-1947,Zwarte Viooltjes,1947-01-09,,ned,False,468899,Zwarte Viooltjes,NL,August Baeyens,1937,Zwarte Viooltjes,operette,NL,1946-1947,August Baeyens
82,Scan 2024-02-14 1204-26.jpeg,1946-1947,Laagland,1947-01-11,,ned,False,252641,Laagland,DUI,Albert D'Eugen,1903,Tiefland,melodramatische oper,NL,1946-1947,August Baeyens
83,Scan 2024-02-14 1204-28.jpeg,1946-1947,De Ontvoering uit het Serail,1947-01-12,,ned,False,217795,De Ontvoering uit het Serail,DUI,Wolfgang Amadeus Mozart,1782,Die Entführung aus dem Serail,zangspel,NL,1946-1947,August Baeyens
84,Scan 2024-02-14 1204-30.jpeg,1946-1947,Faust,1947-01-12,,ned,False,394082,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1946-1947,August Baeyens
85,Scan 2024-02-14 1204-32.jpeg,1946-1947,Traviata,1947-01-14,,ned,False,778376,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1946-1947,August Baeyens
86,Scan 2024-02-14 1204-34.jpeg,1946-1947,Fanny Elssler,1947-01-16,,ned,False,886139,Fanny Elssler,DUI,Johan Strauss II,1934,Die Tänzerin Fanny Elßler,operette,Unk,1946-1947,August Baeyens
87,Scan 2024-02-14 1204-36.jpeg,1946-1947,De Tooverfluit,1947-01-18,,ned,False,237371,Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,NL,1946-1947,August Baeyens
88,Scan 2024-02-14 1204-38.jpeg,1946-1947,Thyl Uilenspiegel,1947-01-19,,ned,False,972839,Thijl Uilenspiegel,DUI,Richard Strauss,1895,Till Eulenspiegels lustige Streiche,tonal poem,NL,1946-1947,August Baeyens
89,Scan 2024-02-14 1204-40.jpeg,1946-1947,Fanny Elssler,1947-01-19,,ned,False,969316,Fanny Elssler,DUI,Johan Strauss II,1934,Die Tänzerin Fanny Elßler,operette,Unk,1946-1947,August Baeyens
90,Scan 2024-02-14 1204-42.jpeg,1946-1947,De Vogelhandelaar,1947-01-21,,ned,False,182502,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,NL,1946-1947,August Baeyens
91,Scan 2024-02-14 1204-44.jpeg,1946-1947,De Tooverfluit,1947-01-23,,ned,False,735716,Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,NL,1946-1947,August Baeyens
92,Scan 2024-02-14 1204-46.jpeg,1946-1947,De Rozenkavalier,1947-01-25,,ned,False,870955,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,NL,1946-1947,August Baeyens
93,Scan 2024-02-14 1204-48.jpeg,1946-1947,De Barbier van Sevilla,1947-01-26,,ned,False,486929,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,NL,1946-1947,August Baeyens
94,Scan 2024-02-14 1204-50.jpeg,1946-1947,De Tooverfluit,1947-01-26,,ned,False,716424,Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,NL,1946-1947,August Baeyens
95,Scan 2024-02-14 1204-52.jpeg,1946-1947,Fanny Elssler,1947-01-28,,ned,False,716622,Fanny Elssler,DUI,Johan Strauss II,1934,Die Tänzerin Fanny Elßler,operette,Unk,1946-1947,August Baeyens
96,Scan 2024-02-14 1204-54.jpeg,1946-1947,Schuld en Boete,1947-01-30,,ned,False,444824,Schuld en Boete,ITA,Arrigo Pedrollo,1926,Delitto e Castigo,muziekdrama,NL,1946-1947,August Baeyens
97,Scan 2024-02-14 1204-56.jpeg,1946-1947,Khovanstsjina,1947-02-01,,ned,False,334040,Khowanstchina,RUS,Modest Mussorgsky,1886,Khovanshchina,opera,Unk,1946-1947,August Baeyens
98,Scan 2024-02-14 1204-58.jpeg,1946-1947,De Tooverfluit,1947-02-02,,ned,False,728275,Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,NL,1946-1947,August Baeyens
99,Scan 2024-02-14 1204-60.jpeg,1946-1947,De Barbier van Sevilla,1947-02-02,,ned,False,889545,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,NL,1946-1947,August Baeyens
100,Scan 2024-02-14 1204-62.jpeg,1946-1947,Boheme,1947-02-04,,ned,False,916902,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,Unk,1946-1947,August Baeyens
101,Scan 2024-02-14 1204-64.jpeg,1946-1947,Traviata,1947-02-06,,ned,False,401479,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1946-1947,August Baeyens
102,Scan 2024-02-14 1204-66.jpeg,1946-1947,Schuld en Boete,1947-02-08,,ned,False,200540,Schuld en Boete,ITA,Arrigo Pedrollo,1926,Delitto e Castigo,muziekdrama,NL,1946-1947,August Baeyens
103,Scan 2024-02-14 1204-68.jpeg,1946-1947,Khovanstsjina,1947-02-09,,ned,False,424942,Khowanstchina,RUS,Modest Mussorgsky,1886,Khovanshchina,opera,Unk,1946-1947,August Baeyens
104,Scan 2024-02-14 1204-70.jpeg,1946-1947,De Vogelhandelaar,1947-02-09,,ned,False,239335,De Vogelhandelaar,DUI,Carl Zeller,1891,Der Vogelhändler,operette,NL,1946-1947,August Baeyens
105,Scan 2024-02-14 1204-72.jpeg,1946-1947,De Tooverfluit,1947-02-11,,ned,False,596218,Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,NL,1946-1947,August Baeyens
106,Scan 2024-02-14 1204-74.jpeg,1946-1947,De Barbier van Sevilla,1947-02-13,,ned,False,146417,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,NL,1946-1947,August Baeyens
107,Scan 2024-02-14 1204-76.jpeg,1946-1947,Boheme,1947-02-15,,ned,False,164330,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,Unk,1946-1947,August Baeyens
108,Scan 2024-02-14 1204-78.jpeg,1946-1947,Zwarte Viooltjes,1947-02-16,,ned,False,682717,Zwarte Viooltjes,NL,August Baeyens,1937,Zwarte Viooltjes,operette,NL,1946-1947,August Baeyens
109,Scan 2024-02-14 1204-80.jpeg,1946-1947,Khovanstsjina,1947-02-16,,ned,False,830635,Khowanstchina,RUS,Modest Mussorgsky,1886,Khovanshchina,opera,Unk,1946-1947,August Baeyens
110,Scan 2024-02-14 1204-82.jpeg,1946-1947,De Barbier van Sevilla,1947-02-18,,ned,False,126479,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,NL,1946-1947,August Baeyens
111,Scan 2024-02-14 1204-84.jpeg,1946-1947,Faust,1947-02-20,,ned,False,994439,Faust,FR,Charles Gounod,1859,Faust,grand opera,Unk,1946-1947,August Baeyens
112,Scan 2024-02-14 1204-86.jpeg,1946-1947,Tsaar en Timmerman,1947-02-22,,ned,False,564157,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,NL,1946-1947,August Baeyens
113,Scan 2024-02-14 1204-88.jpeg,1946-1947,Het Land van den Glimlach,1947-02-23,,ned,False,961102,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,NL,1946-1947,August Baeyens
114,Scan 2024-02-14 1204-90.jpeg,1946-1947,Madame Butterfly,1947-02-23,,ned,True,897461,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,NL,1946-1947,August Baeyens
115,Scan 2024-02-14 1204-90.jpeg,1946-1947,Haute Couture,1947-02-23,,ned,True,897461,Haute Couture,FR,Valentine Belowa,?,Haute Couture,ballet,FRA,1946-1947,August Baeyens
116,Scan 2024-02-14 1204-92.jpeg,1946-1947,Schuld en Boete,1947-02-25,,ned,False,313540,Schuld en Boete,ITA,Arrigo Pedrollo,1926,Delitto e Castigo,muziekdrama,NL,1946-1947,August Baeyens
117,Scan 2024-02-14 1204-94.jpeg,1946-1947,Tsaar en Timmerman,1947-02-27,,ned,False,593730,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,NL,1946-1947,August Baeyens
118,Scan 2024-02-14 1204-96.jpeg,1946-1947,Salome,1947-03-01,,ned,True,689331,Salomé,DUI,Richard Strauss,1905,Salome,ballet,Unk,1946-1947,August Baeyens
119,Scan 2024-02-14 1204-96.jpeg,1946-1947,Ballet Suite,1947-03-01,,ned,True,689331,Ballet-suite,N/A,Wolfgang Amadeus Mozart,1776,Haffner Serenade,serenade,NL,1946-1947,August Baeyens
120,Scan 2024-02-14 1204-98.jpeg,1946-1947,Traviata,1947-03-02,,ned,False,622607,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,Unk,1946-1947,August Baeyens
121,Scan 2024-02-14 1204-100.jpeg,1946-1947,Schuld en Boete,1947-03-02,,ned,False,606617,Schuld en Boete,ITA,Arrigo Pedrollo,1926,Delitto e Castigo,muziekdrama,NL,1946-1947,August Baeyens
122,Scan 2024-02-14 1218-2.jpeg,1946-1947,Tsaar en Timmerman,1947-03-04,,ned,False,301327,Czaar en Timmerman,DUI,Albert Lortzing,1837,Zar und Zimmermann,zangspel,NL,1946-1947,August Baeyens
123,Scan 2024-02-14 1218-4.jpeg,1946-1947,Khovanstsjina,1947-03-06,,ned,False,488977,Khowanstchina,RUS,Modest Mussorgsky,1886,Khovanshchina,opera,Unk,1946-1947,August Baeyens
124,Scan 2024-02-14 1218-6.jpeg,1946-1947,Salome,1947-03-09,,ned,True,383271,Salomé,DUI,Richard Strauss,1905,Salome,ballet,Unk,1946-1947,August Baeyens
125,Scan 2024-02-14 1218-6.jpeg,1946-1947,Ballet Suite,1947-03-09,,ned,True,383271,Ballet-suite,N/A,Wolfgang Amadeus Mozart,1776,Haffner Serenade,serenade,NL,1946-1947,August Baeyens
126,Scan 2024-02-14 1218-8.jpeg,1946-1947,De Regimentsdochter,1947-03-09,,ned,True,294338,De Regimentsdochter,FR,Gaetano Donizetti,1840,La Fille du Régiment,komische oper,NL,1946-1947,August Baeyens
