,Image,Collection,Production,Date,Occasion,Leaflet Language,Multiple Bill,Performance_ID,Normalized Title,Original Language,Composer,Original Premiere,Original Title,Genre,Title Language,Season,Directors
3635,Scan 2024-04-29 1242-121.jpeg,1960-1961,Carmen,1961-04-20,,ned,False,376320,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,Unk,1960-1961,Mina Bolotine
3636,Scan 2024-04-29 1242-128.jpeg,1960-1961,Quinten Massijs,1961-04-22,,ned,False,469138,Quinten Massijs,NL,Emile Wambach,1899,Quinten Massys,lyrisch drama,Unk,1960-1961,Mina Bolotine
3637,Scan 2024-04-29 1242-135.jpeg,1960-1961,De Rozenkavalier,1961-04-23,,ned,False,589548,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,NL,1960-1961,Mina Bolotine
3638,Scan 2024-04-29 1242-146.jpeg,1960-1961,De Lustige Weduwe,1961-04-23,,ned,False,251290,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,NL,1960-1961,Mina Bolotine
3639,Scan 2024-04-29 1242-155.jpeg,1960-1961,De Lustige Weduwe,1961-04-27,,ned,False,185299,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,NL,1960-1961,Mina Bolotine
3640,Scan 2024-04-29 1242-160.jpeg,1960-1961,Het Gemaskerd Bal,1961-04-29,,ned,False,627126,Het Gemaskerd Bal,ITA,Giuseppe Verdi,1859,Un ballo in maschera,melodrama,NL,1960-1961,Mina Bolotine
3641,Scan 2024-04-29 1242-166.jpeg,1960-1961,De Lustige Weduwe,1961-04-30,,ned,False,573428,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,NL,1960-1961,Mina Bolotine
3642,Scan 2024-04-29 1242-172.jpeg,1960-1961,De Rozenkavalier,1961-04-30,,ned,False,302003,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,NL,1960-1961,Mina Bolotine
3643,Scan 2024-04-29 1242-177.jpeg,1960-1961,De Barbier van Sevilla,1961-05-02,galavoorstelling,ned,False,997791,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,NL,1960-1961,Mina Bolotine
3644,Scan 2024-04-29 1242-180.jpeg,1960-1961,Lohengrin,1961-05-03,galavoorstelling,ned,False,668763,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,Unk,1960-1961,Mina Bolotine
3645,Scan 2024-04-29 1242-185.jpeg,1960-1961,Cavalleria Rusticana,1961-05-04,,ned,True,624745,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,ITA,1960-1961,Mina Bolotine
3646,Scan 2024-04-29 1242-185.jpeg,1960-1961,Paljas,1961-05-04,,ned,True,624745,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,Unk,1960-1961,Mina Bolotine
3647,Scan 2024-04-29 1242-192.jpeg,1960-1961,De Lustige Weduwe,1961-05-06,,ned,False,577891,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,NL,1960-1961,Mina Bolotine
3648,Scan 2024-04-29 1242-198.jpeg,1960-1961,Cavalleria Rusticana,1961-05-07,,ned,True,822444,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,ITA,1960-1961,Mina Bolotine
