,Unnamed: 0,Image,Collection,Production,Date,Occasion,Multiple Bill,Performance_ID,Normalized Title,Original Language,Composer,Original Premiere,Original Title,Genre,Season,Directors,Title Language,Leaflet Language
5999,5999.0,0497_1942-1943_00497-20230306_134422.jpg,1942-1943,De Walkure,1943-04-06,Afgelast wegens [onleesbaar] opgelegd door gemeentebestuur,False,959469,De Walkure,DUI,Richard Wagner,1874,Die Walküre,gesamtkunstwerk,1942-1943,Joris Diels,NL,Dutch
6000,6000.0,0501_1942-1943_00501-20230306_134549.jpg,1942-1943,Der Freischütz,1943-04-07,Heeft geen plaats gehad wegens [onleesbaar] + Vorstellung für der Wehrmacht,False,112969,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1942-1943,Joris Diels,NL,German
6001,6001.0,0503_1942-1943_00503-20230306_134610.jpg,1942-1943,De Vledermuis,1943-04-10,,False,856631,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1942-1943,Joris Diels,NL,Dutch
6002,6002.0,0507_1942-1943_00507-20230306_134637.jpg,1942-1943,Figaro’s Bruiloft,1943-04-11,,False,778027,Figaro’s Bruiloft,ITA,Wolfgang Amadeus Mozart,1786,Le nozze di Figaro,oepra buffa,1942-1943,Joris Diels,NL,Dutch
6003,6003.0,0511_1942-1943_00511-20230306_134706.jpg,1942-1943,Carmen,1943-04-11,,False,673935,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1942-1943,Joris Diels,Unk,Dutch
6004,6004.0,0515_1942-1943_00515-20230306_134747.jpg,1942-1943,De Lustige Weduwe,1943-04-13,,False,221498,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1942-1943,Joris Diels,NL,Dutch
6005,6005.0,0519_1942-1943_00519-20230306_134835.jpg,1942-1943,Faust,1943-04-15,,False,227624,Faust,FR,Charles Gounod,1859,Faust,grand opera,1942-1943,Joris Diels,Unk,Dutch
6006,6006.0,0523_1942-1943_00523-20230306_134906.jpg,1942-1943,Heibieke,1943-04-17,Creatie van de nieuwe versie van Heibieke,True,853922,Heibieke,NL,Edward Verheyden,?,Heibieke,?,1942-1943,Joris Diels,Unk,Dutch
6007,6007.0,0523_1942-1943_00523-20230306_134906.jpg,1942-1943,‘t Minnebrugje,1943-04-17,Creatie van de nieuwe versie van Heibieke,True,853922,‘t Minnebrugje,,,,,,1942-1943,Joris Diels,NL,Dutch
6008,6008.0,0526_1942-1943_00526-20230306_134951.jpg,1942-1943,Heibieke,1943-04-18,,True,881283,Heibieke,NL,Edward Verheyden,?,Heibieke,?,1942-1943,Joris Diels,Unk,Dutch
6009,6009.0,0526_1942-1943_00526-20230306_134951.jpg,1942-1943,‘t Minnebrugje,1943-04-18,,True,881283,‘t Minnebrugje,,,,,,1942-1943,Joris Diels,NL,Dutch
6010,6010.0,0528_1942-1943_00528-20230306_135008.jpg,1942-1943,Figaro’s Bruiloft,1943-04-18,,False,779739,Figaro’s Bruiloft,ITA,Wolfgang Amadeus Mozart,1786,Le nozze di Figaro,oepra buffa,1942-1943,Joris Diels,NL,Dutch
6011,6011.0,0530_1942-1943_00530-20230306_135030.jpg,1942-1943,De Vledermuis,1943-04-20,,False,724490,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1942-1943,Joris Diels,NL,Dutch
6012,6012.0,0532_1942-1943_00532-20230306_135105.jpg,1942-1943,Parsifal,1943-04-23,,False,938856,Parsifal,DUI,Richard Wagner,1882,Parsifal,music drama,1942-1943,Joris Diels,Unk,Dutch
6013,6013.0,0536_1942-1943_00536-20230306_135134.jpg,1942-1943,Boheme,1943-04-24,,False,776452,Bohème,ITA,Giacomo Puccini,1897,La bohème,verismo opera,1942-1943,Joris Diels,Unk,Dutch
6014,6014.0,0540_1942-1943_00540-20230306_135203.jpg,1942-1943,Madame Butterfly,1943-04-25,,False,485324,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1942-1943,Joris Diels,NL,Dutch
6015,6015.0,0542_1942-1943_00542-20230306_135223.jpg,1942-1943,Heibieke,1943-04-25,,True,409091,Heibieke,NL,Edward Verheyden,?,Heibieke,?,1942-1943,Joris Diels,Unk,Dutch
6016,6016.0,0542_1942-1943_00542-20230306_135223.jpg,1942-1943,‘t Minnebrugje,1943-04-25,,True,409091,‘t Minnebrugje,NL,Arthur Van Oost,?,Het Minnebrugje,zangspel,1942-1943,Joris Diels,NL,Dutch
6017,6017.0,0546_1942-1943_00546-20230306_135251.jpg,1942-1943,De Walkure,1943-04-26,,False,936111,De Walkure,DUI,Richard Wagner,1874,Die Walküre,gesamtkunstwerk,1942-1943,Joris Diels,NL,Dutch
6018,6018.0,0548_1942-1943_00548-20230306_135308.jpg,1942-1943,Cavalleria Rusticana,1943-04-27,,True,370568,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,1942-1943,Joris Diels,ITA,Dutch
6019,6019.0,0548_1942-1943_00548-20230306_135308.jpg,1942-1943,Paljas,1943-04-27,,True,370568,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,1942-1943,Joris Diels,Unk,Dutch
